,cue,target,objectSentence,objectImage,trialType,isMatch,trialList,trialIndex,shapeSentence,shapeImage
0,There was corn in the field.,cornpieces,corn,corn,experimental,n,2,1,a,b
1,There was apple pie on the table.,applepieslice,apple pie,apple pie,experimental,n,2,2,a,b
2,There was a towel on the floor.,towelhanging,towel,towel,experimental,n,2,3,a,b
3,There was an owl in the barn.,owlsky,owl,owl,experimental,n,2,4,a,b
4,There was a tomato on the vine.,tomatoslice,tomato,tomato,experimental,n,2,5,a,b
5,There was a book on the shelf.,bookdown,book,book,experimental,n,2,6,a,b
6,There was a lamp on the floor.,lamptable,lamp,lamp,experimental,n,2,7,a,b
7,There was a sailboat on the trailer.,boat,sailboat,sailboat,experimental,n,2,8,a,b
8,There was a squid in the water.,squidcooked,squid,squid,experimental,n,2,9,a,b
9,There was a mushroom in the forest.,mushroomsliced,mushroom,mushroom,experimental,n,2,10,a,b
10,There was ice in the glass.,icicles,ice,ice,experimental,n,2,11,a,b
11,There was a shirt on the hanger.,shirtfolded,shirt,shirt,experimental,n,2,12,a,b
12,There was a staple in the machine.,staplepaper,staple,staple,experimental,n,2,13,a,b
13,There was a zodiac in the ocean.,zodiacdeflated,zodiac,zodiac,experimental,n,2,14,a,b
14,There was an umbrella in her backpack.,umbrellahand,umbrella,umbrella,experimental,n,2,15,a,b
15,There was a shoelace in the sneaker.,shoelacetied,shoelace,shoelace,experimental,y,2,16,b,b
16,There was a walnut on the brownie.,walnutpiece,walnut,walnut,experimental,y,2,17,b,b
17,There was cheesecake for the guest.,cheesecakeslice,cheesecake,cheesecake,experimental,y,2,18,b,b
18,There was a swiss knife in his hand.,swissknife,swissknife,swissknife,experimental,y,2,19,b,b
19,There was a lobster in the salad.,lobstermeat,lobster,lobster,experimental,y,2,20,b,b
20,There was a lime in the Corona bottle.,limewedge,lime,lime,experimental,y,2,21,b,b
21,There was a hose on the lawn.,hoselawn,hose,hose,experimental,y,2,22,b,b
22,There was a hockey player on the bench.,hockeyplayerbench,hockey,hockey,experimental,y,2,23,b,b
23,There was a scarf on the floor.,scarf,scarf,scarf,experimental,y,2,24,b,b
24,There was a pumpkin on the porch.,pumpkinface,pumpkin,pumpkin,experimental,y,2,25,b,b
25,There was a garbage bag in the dumpster.,garbagebagfull,garbage,garbage,experimental,y,2,26,b,b
26,There was an eagle in the sky.,eaglesky,eagle,eagle,experimental,y,2,27,b,b
27,There was an avocado in the dish.,avocadosliced,avocado,avocado,experimental,y,2,28,b,b
28,There was paint in the drawing.,paintstroke,paint,paint,experimental,y,2,29,b,b
29,There was a tissue in the trashcan.,tissuecrumpled,tissue,tissue,experimental,y,2,30,b,b
30,There was a balloon in the air.,balloondeflated,balloon,balloon,experimental,n,2,31,b,a
31,There was a match in the ashtray.,match,match,match,experimental,n,2,32,b,a
32,There was spaghetti in the bowl.,spaghettibox,spaghetti,spaghetti,experimental,n,2,33,b,a
33,There was a coat on the floor.,coatrack,coat,coat,experimental,n,2,34,b,a
34,There was fish in the oven.,fish,fish,fish,experimental,n,2,35,b,a
35,There was an airplane in the sky.,airplanewheels,airplane,airplane,experimental,n,2,36,b,a
36,There was tinfoil in the garbage.,foil,foil,foil,experimental,n,2,37,b,a
37,There was carrot in the curry.,carrot,carrot,carrot,experimental,n,2,38,b,a
38,There was banana on the pancake.,banana,banana,banana,experimental,n,2,39,b,a
39,There was a goose in the sky.,gooseland,goose,goose,experimental,n,2,40,b,a
40,There was tape on the package.,taperoll,tape,tape,experimental,n,2,41,b,a
41,There was cucumber in the salad.,cucumbersliced,cucumber,cucumber,experimental,n,2,42,b,a
42,There was bread in the toaster.,breadloaf,bread,bread,experimental,n,2,43,b,a
43,There was a cigarette in the ashtray.,cigarette,cigarette,cigarette,experimental,n,2,44,b,a
44,There was sugar on the spoon.,sugardispenser,sugar,sugar,experimental,n,2,45,b,a
45,There was a newspaper on the driveway.,newspaper,newspaper,newspaper,experimental,y,2,46,a,a
46,There was a horse in the stable.,horse,horse,horse,experimental,y,2,47,a,a
47,There was ketchup on the table.,ketchupbottle,ketchup,ketchup,experimental,y,2,48,a,a
48,There was an apple in the bowl.,apple,apple,apple,experimental,y,2,49,a,a
49,There was pineapple on the skewer.,pineapplechunk,pineapple,pineapple,experimental,y,2,50,a,a
50,There was wool in the sweater.,woolknit,wool,wool,experimental,y,2,51,a,a
51,There was a map on the wall.,mapwall,map,map,experimental,y,2,52,a,a
52,There was onion in the batter.,onionslice,onion,,experimental,y,2,53,a,a
53,There was wheat in the mill.,wheatpieces,wheat,wheat,experimental,y,2,54,a,a
54,There was lemon in the drink.,lemon,lemon,lemon,experimental,y,2,55,a,a
55,There was soap in the bath.,soaplather,soap,soap,experimental,y,2,56,a,a
56,There was chicken in the oven.,chickenoven,chicken,chicken,experimental,y,2,57,a,a
57,There was watermelon in the bowl.,watermelonslice,watermelon,watermelon,experimental,y,2,58,a,a
58,There was an egg on the plate.,eggpan,egg,egg,experimental,y,2,59,a,a
59,There was a frog in the pool.,frogswim,frog,frog,experimental,y,2,60,a,a
60,There was a monkey on the beach.,pawn,monkey,pawn,filler,NA,2,61,NA,NA
61,There was a tiger in the steppe.,elephant,tiger,elephant,filler,NA,2,62,NA,NA
62,There was a tree on the trail.,mussel,tree,mussel,filler,NA,2,63,NA,NA
63,There was a battery in the phone.,screw,phone,screw,filler,NA,2,64,NA,NA
64,There was a doll on the bench.,crate,doll,crate,filler,NA,2,65,NA,NA
65,There was a pen in her satchel.,dice,pen,dice,filler,NA,2,66,NA,NA
66,There was a hill in the village.,scissors,hill,scissors,filler,NA,2,67,NA,NA
67,There was a tent in the shadow.,peanut,tent,peanut,filler,NA,2,68,NA,NA
68,There was a bush in the meadow.,hairpin,bush,hairpin,filler,NA,2,69,NA,NA
69,There was a yard by the kindergarten.,penguin,yard,penguin,filler,NA,2,70,NA,NA
70,There was a skateboard on the ground.,bus,skateboard,bus,filler,NA,2,71,NA,NA
71,There was a pencil in the cup.,hairdryer,pencil,hairdryer,filler,NA,2,72,NA,NA
72,There was a polar bear in the snow.,truck,polar bear,track,filler,NA,2,73,NA,NA
73,There was a calculator on the desk.,comb,calculator,comb,filler,NA,2,74,NA,NA
74,There was a statue in the park.,button,statue,button,filler,NA,2,75,NA,NA
75,There was a kayak in the river.,lamppost,kayak,lamppost,filler,NA,2,76,NA,NA
76,There was a lipstick in the purse.,castle,lipstick,castle,filler,NA,2,77,NA,NA
77,There was fire on campus.,papaya,fire,papaya,filler,NA,2,78,NA,NA
78,There was a pepper in the pastry.,padlock,pepper,padlock,filler,NA,2,79,NA,NA
79,There was a hammer in the basement.,cow,hammer,cow,filler,NA,2,80,NA,NA
80,There was a mannequin in the shop.,axe,mannequin,axe,filler,NA,2,81,NA,NA
81,There was an ornament on the skirt.,eraser,ornament,eraser,filler,NA,2,82,NA,NA
82,There was a thumbtack on the board.,mango,thumbtack,mango,filler,NA,2,83,NA,NA
83,There was a surfboard in the river.,cookinggrill,surfboard,cookinggrill,filler,NA,2,84,NA,NA
84,There was a cactus in the pot.,closet,cactus,closet,filler,NA,2,85,NA,NA
85,There was a chair in the bedroom.,cauliflower,chair,cauliflower,filler,NA,2,86,NA,NA
86,There was a blueberry in the cereal.,cushion,blueberry,cushion,filler,NA,2,87,NA,NA
87,There was a pot on the stove.,rose,pot,rose,filler,NA,2,88,NA,NA
88,There was a snake in the grass.,plunger,snake,plunger,filler,NA,2,89,NA,NA
89,There was raddish in the dish.,qtip,raddish,qtip,filler,NA,2,90,NA,NA
90,There was football in the stadium.,apartment,football,apartment,filler,NA,2,91,NA,NA
91,There was a wrench in the toolbox.,tambourine,wrench,tambourine,filler,NA,2,92,NA,NA
92,There was a goat in the distance.,dandelion,goat,dandelion,filler,NA,2,93,NA,NA
93,There was chimney on the roof.,fountain,chimney,fountain,filler,NA,2,94,NA,NA
94,There was a mug on the coaster.,grater,mug,grater,filler,NA,2,95,NA,NA
95,There was a bicycle in the driveway.,acorn,bicycle,acorn,filler,NA,2,96,NA,NA
96,There was a pyramid by the museum.,couch,pyramid,couch,filler,NA,2,97,NA,NA
97,There was milk in the jar.,strawberry,milk,strawberry,filler,NA,2,98,NA,NA
98,There was a plug by the door.,bat,plug,bat,filler,NA,2,99,NA,NA
99,There was a carriage on the highway.,orange,carriage,orange,filler,NA,2,100,NA,NA
100,There was salt on the table.,shed,salt,shed,filler,NA,2,101,NA,NA
101,There was a cork in the bottle.,clock,cork,clock,filler,NA,2,102,NA,NA
102,There was a flower in the vase.,squeegee,flower,squeegee,filler,NA,2,103,NA,NA
103,There was a deck in the boardgame.,church,deck,church,filler,NA,2,104,NA,NA
104,There was a whistle in the gym.,safetypin,whistle,safetypin,filler,NA,2,105,NA,NA
105,There was a hippo in the zoo.,crane,hippo,crane,filler,NA,2,106,NA,NA
106,There was a mouse in the trap.,wateringcan,mouse,wateringcan,filler,NA,2,107,NA,NA
107,There was a cap on the head.,car,cap,car,filler,NA,2,108,NA,NA
108,There was a chessboard in the classroom.,bridge,chessboard,bridge,filler,NA,2,109,NA,NA
109,There was a kettle in the kitchen.,measuringtape,kettle,measuringtape,filler,NA,2,110,NA,NA
110,There was a blanket in the armchair.,pan,blanket,pan,filler,NA,2,111,NA,NA
111,There was a mayonnaise in the sandwich.,tweezers,mayonnaise,tweezers,filler,NA,2,112,NA,NA
112,There was a head on the neck.,pinecone,head,pinecone,filler,NA,2,113,NA,NA
113,There was a skier in the mountain.,mangocut,skier,mangocut,filler,NA,2,114,NA,NA
114,There was a lounge in the garden.,racquetballracket,lounge,racquetballracket,filler,NA,2,115,NA,NA
115,There was a seal in the cove.,brush,seal,brush,filler,NA,2,116,NA,NA
116,There was a pitcher in the bar.,spraycan,pitcher,spraycan,filler,NA,2,117,NA,NA
117,There was a dart in his hand.,cheesslice,dart,cheesslice,filler,NA,2,118,NA,NA
118,There was a guitar on the stage.,candle,guitar,candle,filler,NA,2,119,NA,NA
119,There was a cottage in the valley.,candy,,candy,filler,NA,2,120,NA,NA
